obs_ID,study_ID,year_pub,T_n,T_mean,T_sd,C_n,C_mean,C_sd,original_es_in_MA
obs280,Corre-Hellou and Crozat (2005),2005,3,15.8,6.19,3,22.75,10.79,lnRR
obs281,Corre-Hellou and Crozat (2005),2005,3,55.1,21.58,3,62.65,29.72,lnRR
obs282,Fang et al. (2014),2014,3,97.73,19.37,3,132.91,22.37,lnRR
obs283,Fang et al. (2014),2014,3,49,14.97,3,66.64,16.31,lnRR
obs284,Fang et al. (2014),2014,3,32.05,15.41,3,35.07,13.39,lnRR
obs285,Fang et al. (2014),2014,3,15.36,7.93,3,14.82,5.36,lnRR
obs286,Fang et al. (2014),2014,3,33.5,8.81,3,14.27,5.79,lnRR
obs287,Fang et al. (2014),2014,3,22.14,3.08,3,10.16,1.76,lnRR
obs288,Xu et al. (2008),2008,4,63.9,2.2,4,62.7,7.66,lnRR
obs289,Xu et al. (2008),2008,4,133,15.8,4,130.15,13.21,lnRR
obs290,Xu et al. (2008),2008,4,226.8,13.6,4,185.65,12.15,lnRR
obs291,Xu et al. (2010),2010,4,34.1,2.2,4,36.05,7.66,lnRR
obs292,Xu et al. (2010),2010,4,165.1,15.8,4,98.05,13.21,lnRR
obs293,Xu et al. (2010),2010,4,155.7,13.6,4,149.9,12.15,lnRR
obs294,Beyer et al. (2013),2013,4,6.04,5.1,6,5.89,4.42,lnRR
obs295,Dimitrakopoulos and Schmid (2004),2004,10,8.75,1.23,10,7.1,1.23,lnRR
obs296,Dimitrakopoulos and Schmid (2004),2004,10,17.35,1.23,10,15.32,1.23,lnRR
obs297,Dimitrakopoulos and Schmid (2004),2004,10,4.55,1.02,10,4.65,0.82,lnRR
obs298,Dimitrakopoulos and Schmid (2004),2004,10,9.64,1.02,10,7.1,1.23,lnRR
obs299,Dimitrakopoulos and Schmid (2004),2004,10,19.72,1.02,10,15.32,1.23,lnRR
obs300,Dimitrakopoulos and Schmid (2004),2004,10,5.24,0.82,10,4.65,0.82,lnRR
obs301,Pausch et al. (2013),2013,6,5.45,6.15,4,3.5,0.76,lnRR
obs302,Pausch et al. (2013),2013,6,3.5,2.25,4,2.35,0.51,lnRR
obs303,Pausch et al. (2013),2013,6,7.45,6,4,3.85,0.82,lnRR
obs304,Pausch et al. (2013),2013,6,3.97,5.02,4,3.23,0.65,lnRR
obs305,Sanaullah et al. (2011),2011,3,1.08,0.06,3,1.26,0.17,lnRR
obs306,Sanaullah et al. (2011),2011,3,1.66,0.23,3,1.37,0.54,lnRR
obs307,Zhang et al. (2007),2007,3,160,32.39,3,195,27.39,lnRR
obs308,Zhang et al. (2007),2007,3,180,58.89,3,195,38.73,lnRR
