obs_ID,study_ID,year_pub,C_n,T_n,C_mean,T_mean,C_sd,T_sd
obs393,Hoverman,2007,6,6,-1.348,-0.348,0.283,0.272
obs394,Hoverman,2007,6,6,0.015,0.016,0.009,0.009
obs395,Hoverman,2007,6,6,0.042,0.03,0.011,0.011
obs396,Hoverman,2007,6,6,0.189,0.187,0.009,0.009
obs397,Hoverman,2007,6,6,0.298,0.269,0.01,0.013
obs398,Hoverman,2007,6,6,0.336,0.324,0.019,0.018
obs399,Hoverman,2007,6,6,36.887,14.361,8.729,8.279
obs400,Hoverman,2005,4,4,-0.312,-0.831,0.169,0.162
obs401,Hoverman,2005,4,4,-0.312,-0.669,0.169,0.162
obs402,Hoverman,2005,4,4,-0.312,1.078,0.169,0.175
obs403,Hoverman,2005,4,4,-0.312,0.968,0.169,0.188
obs404,Hoverman,2005,4,4,-0.599,0.25,0.308,0.316
obs405,Hoverman,2005,4,4,-0.599,0.341,0.308,0.35
obs406,Hoverman,2005,4,4,-0.599,1.132,0.308,0.308
obs407,Hoverman,2005,4,4,-0.599,1.473,0.308,0.3
obs408,Hoverman,2005,4,4,-1.265,-0.35,0.291,0.283
obs409,Hoverman,2005,4,4,-1.265,-0.832,0.291,0.316
obs410,Hoverman,2005,4,4,-1.265,0.425,0.291,0.358
obs411,Hoverman,2005,4,4,-1.265,-0.633,0.291,0.358
obs412,Hoverman,2008,4,4,4.884,6.516,1.186,2.326
obs413,Hoverman,2008,4,4,4.884,14.419,1.186,3.488
obs414,Hoverman,2008,4,4,4.884,52.326,1.186,4.884
obs415,Hoverman,2008,4,4,0.703,0.708,0.007,0.003
obs416,Hoverman,2008,4,4,0.703,0.695,0.007,0.004
obs417,Hoverman,2008,4,4,0.703,0.685,0.007,0.005
obs418,Hoverman,2009,10,10,0.929,0.986,0.007,0.007
obs419,Hoverman,2009,10,10,0.986,1.078,0.007,0.005
obs420,Hoverman,2009,10,10,1.037,1.12,0.013,0.011
obs421,Hoverman,2009,10,10,0.929,0.917,0.007,0.005
obs422,Hoverman,2009,10,10,0.986,1,0.007,0.008
obs423,Hoverman,2009,10,10,1.037,1.018,0.013,0.012
obs424,Hoverman,2009,10,10,0.026,0.021,0.011,0.009
obs425,Hoverman,2009,10,10,0.24,0.202,0.006,0.009
obs426,Hoverman,2009,10,10,0.294,0.247,0.015,0.021
obs427,Hoverman,2009,10,10,0.026,0.032,0.011,0.009
obs428,Hoverman,2009,10,10,0.24,0.294,0.006,0.007
obs429,Hoverman,2009,10,10,0.294,0.36,0.015,0.021
obs430,Hoverman,2009,10,10,60.27,45.685,3.288,3.243
obs431,Hoverman,2009,10,10,90.562,79.192,2.703,2.703
obs432,Hoverman,2009,10,10,107.297,95.408,2.162,5.405
obs433,Hoverman,2009,10,10,60.27,57.032,3.288,4.865
obs434,Hoverman,2009,10,10,90.562,98.117,2.703,2.162
obs435,Hoverman,2009,10,10,107.297,118.11,2.162,4.324
obs436,Hoverman,2012,4,4,87.293,96.748,5.133,5.133
obs437,Hoverman,2012,4,4,87.293,113.771,5.133,5.403
obs438,Hoverman,2012,4,4,87.293,104.862,5.133,5.68
obs439,Hoverman,2012,4,4,1.062,1.142,0.008,0.009
obs440,Hoverman,2012,4,4,1.062,1.042,0.008,0.009
obs441,Hoverman,2012,4,4,1.062,1.042,0.008,0.01
obs442,Hoverman,2012,4,4,0.227,0.239,0.014,0.014
obs443,Hoverman,2012,4,4,0.227,0.319,0.014,0.014
obs444,Hoverman,2012,4,4,0.227,0.242,0.014,0.014
obs445,Hoverman,2007,3,3,1.032,1.118,0.008,0.008
obs446,Hoverman,2007,3,3,1.032,1.04,0.008,0.015
obs447,Hoverman,2007,3,3,1.032,0.916,0.008,0.013
obs448,Hoverman,2007,3,3,1.032,1.13,0.008,0.01
obs449,Hoverman,2007,3,3,1.032,0.987,0.008,0.018
obs450,Hoverman,2007,3,3,1.032,0.935,0.008,0.01
obs451,Hoverman,2007,3,3,1.032,1.121,0.008,0.01
obs452,Hoverman,2007,3,3,1.032,1.014,0.008,0.013
obs453,Hoverman,2007,3,3,1.032,0.926,0.008,0.016
obs454,Hoverman,2007,3,3,0.784,0.81,0.011,0.029
obs455,Hoverman,2007,3,3,0.784,0.783,0.011,0.023
obs456,Hoverman,2007,3,3,0.784,0.646,0.011,0.021
obs457,Hoverman,2007,3,3,0.784,0.783,0.011,0.019
obs458,Hoverman,2007,3,3,0.784,0.784,0.011,0.016
obs459,Hoverman,2007,3,3,0.784,0.678,0.011,0.013
obs460,Hoverman,2007,3,3,0.784,0.809,0.011,0.015
obs461,Hoverman,2007,3,3,0.784,0.702,0.011,0.015
obs462,Hoverman,2007,3,3,0.784,0.675,0.011,0.005
obs463,Hoverman,2007,3,3,0.486,0.506,0.006,0.006
obs464,Hoverman,2007,3,3,0.486,0.497,0.006,0.006
obs465,Hoverman,2007,3,3,0.486,0.459,0.006,0.004
obs466,Hoverman,2007,3,3,0.486,0.507,0.006,0.006
obs467,Hoverman,2007,3,3,0.486,0.487,0.006,0.005
obs468,Hoverman,2007,3,3,0.486,0.467,0.006,0.004
obs469,Hoverman,2007,3,3,0.486,0.507,0.006,0.008
obs470,Hoverman,2007,3,3,0.486,0.477,0.006,0.005
obs471,Hoverman,2007,3,3,0.486,0.469,0.006,0.005
obs472,Hoverman,2007,3,3,0.65,0.669,0.004,0.008
obs473,Hoverman,2007,3,3,0.65,0.66,0.004,0.005
obs474,Hoverman,2007,3,3,0.65,0.624,0.004,0.006
obs475,Hoverman,2007,3,3,0.65,0.659,0.004,0.007
obs476,Hoverman,2007,3,3,0.65,0.669,0.004,0.006
obs477,Hoverman,2007,3,3,0.65,0.65,0.004,0.007
obs478,Hoverman,2007,3,3,0.65,0.668,0.004,0.005
obs479,Hoverman,2007,3,3,0.65,0.651,0.004,0.005
obs480,Hoverman,2007,3,3,0.65,0.642,0.004,0.005
obs481,Hoverman,2007,3,3,0.032,0.02,0.009,0.007
obs482,Hoverman,2007,3,3,0.032,0.054,0.009,0.013
obs483,Hoverman,2007,3,3,0.032,0.054,0.009,0.012
obs484,Hoverman,2007,3,3,0.032,0.032,0.009,0.008
obs485,Hoverman,2007,3,3,0.032,0.096,0.009,0.025
obs486,Hoverman,2007,3,3,0.032,0.054,0.009,0.006
obs487,Hoverman,2007,3,3,0.032,0.042,0.009,0.011
obs488,Hoverman,2007,3,3,0.032,0.021,0.009,0.006
obs489,Hoverman,2007,3,3,0.032,0.051,0.009,0.012
obs490,Hoverman,2007,3,3,6.194,5.965,0.083,0.097
obs491,Hoverman,2007,3,3,6.194,6.236,0.083,0.035
obs492,Hoverman,2007,3,3,6.194,6.736,0.083,0.056
obs493,Hoverman,2007,3,3,6.194,6.229,0.083,0.097
obs494,Hoverman,2007,3,3,6.194,6.424,0.083,0.118
obs495,Hoverman,2007,3,3,6.194,6.535,0.083,0.077
obs496,Hoverman,2007,3,3,6.194,6.09,0.083,0.104
obs497,Hoverman,2007,3,3,6.194,6.403,0.083,0.104
obs498,Hoverman,2007,3,3,6.194,6.555,0.083,0.049
obs499,Hoverman,2007,3,3,0.271,0.321,0.012,0.049
obs500,Hoverman,2007,3,3,0.271,0.319,0.012,0.053
obs501,Hoverman,2007,3,3,0.271,0.169,0.012,0.033
obs502,Hoverman,2007,3,3,0.271,0.375,0.012,0.022
obs503,Hoverman,2007,3,3,0.271,0.281,0.012,0.022
obs504,Hoverman,2007,3,3,0.271,0.182,0.012,0.035
obs505,Hoverman,2007,3,3,0.271,0.343,0.012,0.035
obs506,Hoverman,2007,3,3,0.271,0.19,0.012,0.024
obs507,Hoverman,2007,3,3,0.271,0.181,0.012,0.024
obs508,Hoverman,2007,3,3,6.045,5.347,1.395,1.86
obs509,Hoverman,2007,3,3,6.045,3.022,1.395,1.395
obs510,Hoverman,2007,3,3,6.045,32.085,1.395,3.72
obs511,Hoverman,2007,3,3,6.045,2.557,1.395,2.092
obs512,Hoverman,2007,3,3,6.045,4.65,1.395,1.162
obs513,Hoverman,2007,3,3,6.045,27.438,1.395,1.162
obs514,Hoverman,2007,3,3,6.045,3.72,1.395,6.742
obs515,Hoverman,2007,3,3,6.045,29.528,1.395,8.137
obs516,Hoverman,2007,3,3,6.045,36.502,1.395,7.443
obs517,Hoverman,2007,3,3,0.23,1.122,0.189,0.189
obs518,Hoverman,2007,3,3,0.23,0.527,0.189,0.203
obs519,Hoverman,2007,3,3,0.23,-1.446,0.189,0.189
obs520,Hoverman,2007,3,3,0.23,0.946,0.189,0.162
obs521,Hoverman,2007,3,3,0.23,0.218,0.189,0.216
obs522,Hoverman,2007,3,3,0.23,-1.122,0.189,0.203
obs523,Hoverman,2007,3,3,0.23,1.108,0.189,0.189
obs524,Hoverman,2007,3,3,0.23,-0.77,0.189,0.176
obs525,Hoverman,2007,3,3,0.23,-1.257,0.189,0.19
obs526,Hoverman,2007,3,3,-0.243,-0.799,0.379,0.392
obs527,Hoverman,2007,3,3,-0.243,0.595,0.379,0.379
obs528,Hoverman,2007,3,3,-0.243,0.054,0.379,0.393
obs529,Hoverman,2007,3,3,-0.243,-0.162,0.379,0.406
obs530,Hoverman,2007,3,3,-0.243,1.419,0.379,0.433
obs531,Hoverman,2007,3,3,-0.243,0.054,0.379,0.406
obs532,Hoverman,2007,3,3,-0.243,-0.189,0.379,0.405
obs533,Hoverman,2007,3,3,-0.243,-1.068,0.379,0.405
obs534,Hoverman,2007,3,3,-0.243,0.095,0.379,0.392
