study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),
Kanerva et al. 2006,158,NO3-,438,486,48,2.5,60°49' N,23°28' E,Finland,OTC,mg N g-1 soil,Fertilizer + O3,Fig. 1,*,Yes,Grassland,*,0.063,0.0763,0.0185,0.0102,3,3,0.1915,0.0347,,0.063,0.0763,0.0185,0.0102,3,3,0.1915,0.0347,,*,*,*,*,*,*,*,*
Kanerva et al. 2006,159,TIN,438,487,49,2.5,60°49' N,23°28' E,Finland,OTC,mg N g-1 soil,Fertilizer,Fig. 1,*,Yes,Grassland,*,2.8439,2.4987,0.3984,0.1156,3,3,-0.1294,0.0073,,2.8439,2.4987,0.3984,0.1156,3,3,-0.1294,0.0073,,*,*,*,*,*,*,*,*
Kanerva et al. 2006,160,TIN,438,486,48,2.5,60°49' N,23°28' E,Finland,OTC,mg N g-1 soil,Fertilizer + O3,Fig. 1,*,Yes,Grassland,*,2.0717,2.6933,0.1351,0.1457,3,3,0.2624,0.0024,,2.0717,2.6933,0.1351,0.1457,3,3,0.2624,0.0024,,*,*,*,*,*,*,*,*
Lam et al. 2011,161,NH4+,420,565,145,0.7,40°10' N,116°14' E,China,FACE,mg kg-1 soil,Low Nitrogen,Fig. 2; Average across measurements,84 kg N ha-1,Yes,Cropland,Wheat,5.8247,5.8419,0.5825,0.5842,3,3,0.0029,0.0067,,5.8247,5.8419,0.5825,0.5842,3,3,0.0029,0.0067,,*,*,*,*,*,*,*,*
Lam et al. 2011,162,NH4+,420,565,145,0.7,40°10' N,116°14' E,China,FACE,mg kg-1 soil,High Nitrogen,Fig. 2; Average across measurements,188 kg N ha-1,Yes,Cropland,Wheat,6.3058,9.1409,0.6306,0.9141,3,3,0.3713,0.0067,,6.3058,9.1409,0.6306,0.9141,3,3,0.3713,0.0067,,*,*,*,*,*,*,*,*
Lam et al. 2011,163,NO3-,420,565,145,0.7,40°10' N,116°14' E,China,FACE,mg kg-1 soil,Low Nitrogen,Fig. 2; Average across measurements,84 kg N ha-1,Yes,Cropland,Wheat,6.7692,9.8462,0.6769,0.9846,3,3,0.3747,0.0067,,6.7692,9.8462,0.6769,0.9846,3,3,0.3747,0.0067,,*,*,*,*,*,*,*,*
Lam et al. 2011,164,NO3-,420,565,145,0.7,40°10' N,116°14' E,China,FACE,mg kg-1 soil,High Nitrogen,Fig. 2; Average across measurements,188 kg N ha-1,Yes,Cropland,Wheat,33.1624,28.3077,3.3162,2.8308,3,3,-0.1583,0.0067,,33.1624,28.3077,3.3162,2.8308,3,3,-0.1583,0.0067,,*,*,*,*,*,*,*,*
Lam et al. 2011,165,TIN,420,565,145,0.7,40°10' N,116°14' E,China,FACE,mg kg-1 soil,Low Nitrogen,Fig. 2; Average across measurements,84 kg N ha-1,Yes,Cropland,Wheat,12.594,15.6881,1.2594,1.5688,3,3,0.2197,0.0067,,12.594,15.6881,1.2594,1.5688,3,3,0.2197,0.0067,,*,*,*,*,*,*,*,*
Lam et al. 2011,166,TIN,420,565,145,0.7,40°10' N,116°14' E,China,FACE,mg kg-1 soil,High Nitrogen,Fig. 2; Average across measurements,188 kg N ha-1,Yes,Cropland,Wheat,39.4682,37.4486,3.9468,3.7449,3,3,-0.0525,0.0067,,39.4682,37.4486,3.9468,3.7449,3,3,-0.0525,0.0067,,*,*,*,*,*,*,*,*
Lam et al. 2013 (JAS),167,NH4+,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,mg kg-1 soil,Nitrogen,Fig. 2d,100 kg N ha-1 yr-1,Yes,Cropland,Wheat,26.6667,27.4419,8.9615,8.2561,4,4,0.0287,0.0509,,26.6667,27.4419,8.9615,8.2561,4,4,0.0287,0.0509,,*,*,*,*,*,*,*,*
Lam et al. 2013 (JAS),168,NH4+,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,mg kg-1 soil,Nitrogen + Irrigation,Fig. 2d,100 kg N ha-1 yr-1,Yes,Cropland,Wheat,19.0698,30.0775,10.0439,15.108,4,4,0.4557,0.1324,,19.0698,30.0775,10.0439,15.108,4,4,0.4557,0.1324,,*,*,*,*,*,*,*,*
Lam et al. 2013 (JAS),169,NO3-,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,mg kg-1 soil,Nitrogen,Fig. 2e,100 kg N ha-1 yr-1,Yes,Cropland,Wheat,34.4211,27,5.2699,3.1371,4,4,-0.2428,0.0092,,34.4211,27,5.2699,3.1371,4,4,-0.2428,0.0092,,*,*,*,*,*,*,*,*
Lam et al. 2013 (JAS),170,NO3-,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,mg kg-1 soil,Nitrogen + Irrigation,Fig. 2e,100 kg N ha-1 yr-1,Yes,Cropland,Wheat,21.0789,25.8158,3.0318,4.5998,4,4,0.2027,0.0131,,21.0789,25.8158,3.0318,4.5998,4,4,0.2027,0.0131,,*,*,*,*,*,*,*,*
Lam et al. 2013 (JAS),171,TIN,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,mg kg-1 soil,Nitrogen,Fig. 2d + e,100 kg N ha-1 yr-1,Yes,Cropland,Wheat,34.4211,27,5.2699,3.1371,4,4,-0.2428,0.0092,,34.4211,27,5.2699,3.1371,4,4,-0.2428,0.0092,,*,*,*,*,*,*,*,*
Lam et al. 2013 (JAS),172,TIN,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,mg kg-1 soil,Nitrogen + Irrigation,Fig. 2d + e,100 kg N ha-1 yr-1,Yes,Cropland,Wheat,21.0789,25.8158,3.0318,4.5998,4,4,0.2027,0.0131,,21.0789,25.8158,3.0318,4.5998,4,4,0.2027,0.0131,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),173,NH4+,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,cereal-legume soil,No,Cropland,wheat,1.22,1.48,0.3,0.38,4,4,0.1932,0.0316,,1.22,1.48,0.3,0.38,4,4,0.1932,0.0316,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),174,NH4+,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,Residue,Table 4,cereal-legume soil,No,Cropland,wheat,1.59,1.64,0.22,0.38,4,4,0.031,0.0182,,1.59,1.64,0.22,0.38,4,4,0.031,0.0182,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),175,NH4+,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,cereal-fallow soil,No,Cropland,wheat,0.87,0.97,0.54,0.16,4,4,0.1088,0.1031,,0.87,0.97,0.54,0.16,4,4,0.1088,0.1031,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),176,NH4+,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,Residue,Table 4,cereal-fallow soil,No,Cropland,wheat,1.52,1.49,0.22,0.5,4,4,-0.0199,0.0334,,1.52,1.49,0.22,0.5,4,4,-0.0199,0.0334,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),177,NO3-,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,cereal-legume soil,No,Cropland,wheat,0.4,0.4,0.06,0.22,4,4,0,0.0812,,0.4,0.4,0.06,0.22,4,4,0,0.0812,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),178,NO3-,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,Residue,Table 4,cereal-legume soil,No,Cropland,wheat,0.58,0.86,0.1,0.26,4,4,0.3939,0.0303,,0.58,0.86,0.1,0.26,4,4,0.3939,0.0303,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),179,NO3-,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,cereal-fallow soil,No,Cropland,wheat,0.35,0.22,0.16,0.04,4,4,-0.4643,0.0605,,0.35,0.22,0.16,0.04,4,4,-0.4643,0.0605,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),180,NO3-,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,Residue,Table 4,cereal-fallow soil,No,Cropland,wheat,0.62,0.79,0.24,0.44,4,4,0.2423,0.115,,0.62,0.79,0.24,0.44,4,4,0.2423,0.115,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),181,TIN,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,cereal-legume soil,No,Cropland,wheat,1.62,1.88,0.3059,0.4391,4,4,0.1488,0.0226,,1.62,1.88,0.3059,0.4391,4,4,0.1488,0.0226,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),182,TIN,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,Residue,Table 4,cereal-legume soil,No,Cropland,wheat,2.17,2.5,0.2417,0.4604,4,4,0.1416,0.0116,,2.17,2.5,0.2417,0.4604,4,4,0.1416,0.0116,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),183,TIN,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,cereal-fallow soil,No,Cropland,wheat,1.22,1.19,0.5632,0.1649,4,4,-0.0249,0.0581,,1.22,1.19,0.5632,0.1649,4,4,-0.0249,0.0581,,*,*,*,*,*,*,*,*
Lam et al. 2013 (PS_2),184,TIN,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,Residue,Table 4,cereal-fallow soil,No,Cropland,wheat,2.14,2.28,0.3256,0.666,4,4,0.0634,0.0271,,2.14,2.28,0.3256,0.666,4,4,0.0634,0.0271,,*,*,*,*,*,*,*,*
Larsen et al. 2011,185,NO3-,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,No,Table 2,*,No,Heathland,*,0.0793,0.0339,0.0987,0.0382,6,6,-0.8498,0.4698,,0.0793,0.0339,0.0987,0.0382,6,6,-0.8498,0.4698,,*,*,*,*,*,*,*,*
Larsen et al. 2011,186,NO3-,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Drought,Table 2,*,No,Heathland,*,0.064,0.1759,0.1416,0.2383,6,6,1.011,1.1217,,0.064,0.1759,0.1416,0.2383,6,6,1.011,1.1217,,*,*,*,*,*,*,*,*
Larsen et al. 2011,187,NO3-,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming,Table 2,*,No,Heathland,*,0.229,0.2809,0.3255,0.3368,6,6,0.2043,0.5763,,0.229,0.2809,0.3255,0.3368,6,6,0.2043,0.5763,,*,*,*,*,*,*,*,*
Larsen et al. 2011,188,NO3-,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming + Drought,Table 2,*,No,Heathland,*,0.087,0.0415,0.2043,0.0683,6,6,-0.7402,1.3705,,0.087,0.0415,0.2043,0.0683,6,6,-0.7402,1.3705,,*,*,*,*,*,*,*,*
Larsen et al. 2011,189,NH4+,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,No,Table 2,*,No,Heathland,*,0.33,0.251,0.4189,0.3772,6,6,-0.2736,0.645,,0.33,0.251,0.4189,0.3772,6,6,-0.2736,0.645,,*,*,*,*,*,*,*,*
Larsen et al. 2011,190,NH4+,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Drought,Table 2,*,No,Heathland,*,0.19,0.237,0.4066,0.3013,6,6,0.221,1.0326,,0.19,0.237,0.4066,0.3013,6,6,0.221,1.0326,,*,*,*,*,*,*,*,*
Larsen et al. 2011,191,NH4+,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming,Table 2,*,No,Heathland,*,0.286,1.087,0.2694,0.8034,6,6,1.3352,0.2389,,0.286,1.087,0.2694,0.8034,6,6,1.3352,0.2389,,*,*,*,*,*,*,*,*
Larsen et al. 2011,192,NH4+,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming + Drought,Table 2,*,No,Heathland,*,0.063,0.062,0.0514,0.0416,6,6,-0.016,0.186,,0.063,0.062,0.0514,0.0416,6,6,-0.016,0.186,,*,*,*,*,*,*,*,*
Larsen et al. 2011,193,TIN,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,No,Table 2,*,No,Heathland,*,0.4093,0.2849,0.4303,0.3792,6,6,-0.3623,0.4795,,0.4093,0.2849,0.4303,0.3792,6,6,-0.3623,0.4795,,*,*,*,*,*,*,*,*
Larsen et al. 2011,194,TIN,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Drought,Table 2,*,No,Heathland,*,0.254,0.4129,0.4306,0.3842,6,6,0.4859,0.6233,,0.254,0.4129,0.4306,0.3842,6,6,0.4859,0.6233,,*,*,*,*,*,*,*,*
Larsen et al. 2011,195,TIN,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming,Table 2,*,No,Heathland,*,0.515,1.3679,0.4226,0.8712,6,6,0.9769,0.1798,,0.515,1.3679,0.4226,0.8712,6,6,0.9769,0.1798,,*,*,*,*,*,*,*,*
Larsen et al. 2011,196,TIN,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming + Drought,Table 2,*,No,Heathland,*,0.15,0.1035,0.2107,0.08,6,6,-0.3711,0.4284,,0.15,0.1035,0.2107,0.08,6,6,-0.3711,0.4284,,*,*,*,*,*,*,*,*
Long et al. 2012,197,NH4+,365,565,200,10,35°59' N,79°06' W,USA,FACE,mg kg-1,No,Table 1,*,No,Forest,Loblolly pine,185.37,191.3167,5.7027,73.4251,3,3,0.0316,0.0494,,*,*,*,*,*,*,*,*,,185.37,191.3167,5.7027,73.4251,3,3,0.0316,0.0494
Long et al. 2012,198,NH4+,365,565,200,10,35°59' N,79°06' W,USA,FACE,mg kg-1,Nitrogen,Table 1,11.2 g N m-2 y-1,Yes,Forest,Loblolly pine,224.79,160.54,37.8067,29.6744,3,3,-0.3366,0.0208,,*,*,*,*,*,*,*,*,,224.79,160.54,37.8067,29.6744,3,3,-0.3366,0.0208
Martin-Olmedo et al. 2002,199,NH4+,396,716,320,0.1,*,*,*,GC,mg N core-1,Low Nitrogen,Table 3,*,Yes,Cropland,Barley,18.08,14.13,3.7211,4.4889,17,17,-0.2465,0.0084,,18.08,14.13,3.7211,4.4889,17,17,-0.2465,0.0084,,*,*,*,*,*,*,*,*
Martin-Olmedo et al. 2002,200,NH4+,396,716,320,0.1,*,*,*,GC,mg N core-1,High Nitrogen,Table 3,*,Yes,Cropland,Barley,17.67,14.92,6.0042,3.1167,17,17,-0.1692,0.0094,,17.67,14.92,6.0042,3.1167,17,17,-0.1692,0.0094,,*,*,*,*,*,*,*,*
Martin-Olmedo et al. 2002,201,NO3-,396,716,320,0.1,*,*,*,GC,mg N core-1,Low Nitrogen,Table 3,*,Yes,Cropland,Barley,10.41,7.62,12.0951,12.131,17,17,-0.312,0.2285,,10.41,7.62,12.0951,12.131,17,17,-0.312,0.2285,,*,*,*,*,*,*,*,*
Martin-Olmedo et al. 2002,202,NO3-,396,716,320,0.1,*,*,*,GC,mg N core-1,High Nitrogen,Table 3,*,Yes,Cropland,Barley,95.93,100.85,38.7282,23.1327,17,17,0.05,0.0127,,95.93,100.85,38.7282,23.1327,17,17,0.05,0.0127,,*,*,*,*,*,*,*,*
Martin-Olmedo et al. 2002,203,TIN,396,716,320,0.1,*,*,*,GC,mg N g-1 soil,Low Nitrogen,Table 4,*,Yes,Cropland,Barley,13.32,8.6,19.7952,5.364,17,17,-0.4375,0.1528,,13.32,8.6,19.7952,5.364,17,17,-0.4375,0.1528,,*,*,*,*,*,*,*,*
Martin-Olmedo et al. 2002,204,TIN,396,716,320,0.1,*,*,*,GC,mg N g-1 soil,High Nitrogen,Table 4,*,Yes,Cropland,Barley,16.55,22.48,6.7045,18.0712,17,17,0.3062,0.0477,,16.55,22.48,6.7045,18.0712,17,17,0.3062,0.0477,,*,*,*,*,*,*,*,*
McKinley et al. 2009,205,TIN,*,*,350,11,28°38' N,80°42' W,USA,OTC,mg N g-1 soil,No,Fig. 1a-d,Average across years,No,Forest,Evergreen,4.7208,3.7583,0.5655,0.4865,8,8,-0.228,0.0039,,*,*,*,*,*,*,*,*,,4.7208,3.7583,0.5655,0.4865,8,8,-0.228,0.0039
Niklaus et al. 1998,206,NH4+,360,600,240,2,47°33' N,7°34' E,Switzerland,OTC,mg N g-1 soil,No,Fig. 6 (upper panel),*,No,Grassland,*,11.3548,7.2258,17.518,2.5547,8,8,-0.452,0.3131,,11.3548,7.2258,17.518,2.5547,8,8,-0.452,0.3131,,*,*,*,*,*,*,*,*
Niklaus et al. 1998,207,NO3-,360,600,240,2,47°33' N,7°34' E,Switzerland,OTC,mg N g-1 soil,No,Fig. 6 (upper panel),*,No,Grassland,*,0.3179,0.1846,0.3626,0.2901,8,8,-0.5435,0.4713,,0.3179,0.1846,0.3626,0.2901,8,8,-0.5435,0.4713,,*,*,*,*,*,*,*,*
Niklaus et al. 1998,208,TIN,360,600,240,2,47°33' N,7°34' E,Switzerland,OTC,mg N g-1 soil,No,Fig. 6 (upper panel),*,No,Grassland,*,11.6728,7.4104,17.5218,2.5711,8,8,-0.4544,0.2967,,11.6728,7.4104,17.5218,2.5711,8,8,-0.4544,0.2967,,*,*,*,*,*,*,*,*
Rakshit et al. 2012,209,NO3-,370,650,280,0.3,*,*,India,GC,mg kg-1 soil,Fertillizer + warming,Fig. 2,"120 kg N ha-1; average of 0, 120 and 240",Yes,Cropland,Wheat,21.0811,17.973,2.1081,1.7973,3,3,-0.1595,0.0067,,21.0811,17.973,2.1081,1.7973,3,3,-0.1595,0.0067,,*,*,*,*,*,*,*,*
Reich et al. 2001,210,TIN,368,560,192,2,45° N,93° W,USA,FACE,g  m-2 ,Nitrogen,Table 7,Average across species,Yes,Grassland,*,0.754,0.6145,0.0754,0.0615,3,3,-0.2046,0.0067,,0.754,0.6145,0.0754,0.0615,3,3,-0.2046,0.0067,,*,*,*,*,*,*,*,*
Ross et al. 2013,211,TIN,*,475,*,10,40°14' S,173°16' E,New Zealand,FACE,mg kg-1 soil,Fertillizer without N,Fig. 6e,*,No,Grassland,*,20.0179,19.552,2.8204,1.5196,3,3,-0.0235,0.0086,,12.3656,10.693,1.3321,1.1156,3,3,-0.1453,0.0075,,23.2975,23.3487,3.2327,1.7184,3,3,0.0022,0.0082
Schleppi et al. 2012,212,NO3-,350,*,*,8,47.47° N,7.5° E,Switzerland,FACE,mg bag-1,No,Fig. 5,Medium vs. Low,No,Forest,*,0.7157,1.5719,1.0625,0.9739,12,12,0.7868,0.2156,,*,*,*,*,*,*,*,*,,0.7157,1.5719,1.0625,0.9739,12,12,0.7868,0.2156
Schleppi et al. 2012,213,NO3-,350,550,200,8,47.47° N,7.5° E,Switzerland,FACE,mg bag-1,No,Fig. 5,High vs. Low,No,Forest,*,0.7157,2.5942,1.0625,0.9739,12,12,1.2878,0.1954,,*,*,*,*,*,*,*,*,,0.7157,2.5942,1.0625,0.9739,12,12,1.2878,0.1954
Tscherko et al. 2001,214,NH4+,*,*,200,0.8,*,*,*,GC,mg kg-1,No,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,4.18,4.0433,1.8043,1.2876,6,6,-0.0333,0.048,,4.18,4.0433,1.8043,1.2876,6,6,-0.0333,0.048,,*,*,*,*,*,*,*,*
Tscherko et al. 2001,215,NH4+,*,*,200,0.8,*,*,*,GC,mg kg-1,Warming,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,2.61,2.1933,0.4841,0.554,6,6,-0.1739,0.0164,,2.61,2.1933,0.4841,0.554,6,6,-0.1739,0.0164,,*,*,*,*,*,*,*,*
Tscherko et al. 2001,216,NO3-,*,*,200,0.8,*,*,*,GC,mg kg-1,No,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,1.25,1.7267,0.3221,0.6923,6,6,0.3231,0.0379,,1.25,1.7267,0.3221,0.6923,6,6,0.3231,0.0379,,*,*,*,*,*,*,*,*
Tscherko et al. 2001,217,NO3-,*,*,200,0.8,*,*,*,GC,mg kg-1,Warming,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,3.9433,1.84,0.5301,1.8884,6,6,-0.7623,0.1786,,3.9433,1.84,0.5301,1.8884,6,6,-0.7623,0.1786,,*,*,*,*,*,*,*,*
Tscherko et al. 2001,218,TIN,*,*,200,0.8,*,*,*,GC,mg kg-1,No,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,5.43,5.77,1.8328,1.4619,6,6,0.0607,0.0297,,5.43,5.77,1.8328,1.4619,6,6,0.0607,0.0297,,*,*,*,*,*,*,*,*
Tscherko et al. 2001,219,TIN,*,*,200,0.8,*,*,*,GC,mg kg-1,Warming,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,6.5533,4.0333,0.7178,1.968,6,6,-0.4854,0.0417,,6.5533,4.0333,0.7178,1.968,6,6,-0.4854,0.0417,,*,*,*,*,*,*,*,*
Williams et al. 2000,220,TIN,335,*,*,8,39.12° N,96.35° W,USA,OTC,g kg-1 soil,No,Fig. 6,*,No,Grassland,Grass,3.1856,3.6315,0.3186,0.3632,3,3,0.131,0.0067,,*,*,*,*,*,*,*,*,,3.1856,3.6315,0.3186,0.3632,3,3,0.131,0.0067
Zak et al. 2007,221,NH4+,374,531,157,7,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3; average of contral and O3,Table 2,*,No,Forest,Across plant community type,0.39,0.36,0.2078,0.2252,3,3,-0.08,0.2251,,*,*,*,*,*,*,*,*,,0.39,0.36,0.2078,0.2252,3,3,-0.08,0.2251
Zak et al. 2007,222,NO3-,374,531,157,7,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3; average of contral and O3,Table 2,*,No,Forest,Across plant community type,0.11,0.09,0.0866,0.0866,3,3,-0.2007,0.5152,,*,*,*,*,*,*,*,*,,0.11,0.09,0.0866,0.0866,3,3,-0.2007,0.5152
Zak et al. 2007,223,TIN,374,531,157,7,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3; average of contral and O3,Table 2,*,No,Forest,Across plant community type,0.5,0.45,0.2252,0.2412,3,3,-0.1054,0.1634,,*,*,*,*,*,*,*,*,,0.5,0.45,0.2252,0.2412,3,3,-0.1054,0.1634
Zak et al. 1993,224,TIN,342,692,350,0.4,45°34' N,84°41' W,USA,OTC,mg N g-1 soil,Nitrogen,Table 3,4.5 g N m-2; Average across rhizosphere and bulk soil,Yes,Forest,Populus grandidentata,10.2,11.8,3.695,4.2796,4,4,0.1457,0.0657,,10.2,11.8,3.695,4.2796,4,4,0.1457,0.0657,,*,*,*,*,*,*,*,*
