study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),
Barnard et al. 2004 (GCB),28,NH4+,350,660,310,3,48°13' N,11°36' E,Germany,FACE,μg N g-1 dry soil,No,Table2,*,No,Grassland,*,2.1,2.2,0.2449,0.2449,6,6,0.0465,0.0043,,2.1,2.2,0.2449,0.2449,6,6,0.0465,0.0043,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),29,NH4+,350,660,310,3,48°13' N,11°36' E,Germany,FACE,μg N g-1 dry soil,Cut,Table2,*,No,Grassland,*,2.1,2.2,0.2449,0.2449,6,6,0.0465,0.0043,,2.1,2.2,0.2449,0.2449,6,6,0.0465,0.0043,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),30,NH4+,350,670,320,4,53°17' N,4°43'W,UK,GC,μg N g-1 dry soil,Nitrogen,Table2,*,Yes,Grassland,*,22.9,30.6,22.0617,35.921,2,2,0.2899,1.1531,,*,*,*,*,*,*,*,*,,22.9,30.6,22.0617,35.921,2,2,0.2899,1.1531
Barnard et al. 2004 (GCB),31,NH4+,350,670,320,4,53°17' N,4°43'W,UK,GC,μg N g-1 dry soil,Nitrogen + Warming,Table2,*,Yes,Grassland,*,6.3,9.1,2.1213,1.9799,2,2,0.3677,0.0804,,*,*,*,*,*,*,*,*,,6.3,9.1,2.1213,1.9799,2,2,0.3677,0.0804
Barnard et al. 2004 (GCB),32,NO3-,350,600,250,4,43°17' N,11°35' E,Italy,FACE,μg N g-1 dry soil,No,Table2,*,No,Grassland,*,11.7,11.1,3.6742,2.4495,6,6,-0.0526,0.0246,,*,*,*,*,*,*,*,*,,11.7,11.1,3.6742,2.4495,6,6,-0.0526,0.0246
Barnard et al. 2004 (GCB),33,NO3-,370,600,230,4,45°43' N,3°1' E,France,FACE,μg N g-1 dry soil,Nitrogen + Cut,Table2,*,Yes,Grassland,*,1.4,0.9,0.6928,0.3464,3,3,-0.4418,0.131,,*,*,*,*,*,*,*,*,,1.4,0.9,0.6928,0.3464,3,3,-0.4418,0.131
Barnard et al. 2004 (GCB),34,NO3-,370,600,230,4,45°43' N,3°1' E,France,FACE,μg N g-1 dry soil,Nitrogen,Table2,*,Yes,Grassland,*,1.6,0.8,0.1732,0.1732,3,3,-0.6931,0.0195,,*,*,*,*,*,*,*,*,,1.6,0.8,0.1732,0.1732,3,3,-0.6931,0.0195
Barnard et al. 2004 (GCB),35,NO3-,350,660,310,3,48°13' N,11°36' E,Germany,FACE,μg N g-1 dry soil,No,Table2,*,No,Grassland,*,0.7,0.6,0.2449,0.2449,6,6,-0.1542,0.0482,,0.7,0.6,0.2449,0.2449,6,6,-0.1542,0.0482,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),36,NO3-,350,660,310,3,48°13' N,11°36' E,Germany,FACE,μg N g-1 dry soil,Cut,Table2,*,No,Grassland,*,0.8,0.9,0.4899,0.4899,6,6,0.1178,0.1119,,0.8,0.9,0.4899,0.4899,6,6,0.1178,0.1119,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),37,NO3-,350,670,320,4,53°17' N,4°43'W,UK,GC,μg N g-1 dry soil,Nitrogen,Table2,*,Yes,Grassland,*,0.6,0.02,0.5657,0.0028,2,2,-3.4012,0.4543,,*,*,*,*,*,*,*,*,,0.6,0.02,0.5657,0.0028,2,2,-3.4012,0.4543
Barnard et al. 2004 (GCB),38,NO3-,350,670,320,4,53°17' N,4°43'W,UK,GC,μg N g-1 dry soil,Nitrogen + Warming,Table2,*,Yes,Grassland,*,0.3,0.05,0.2828,0.0006,2,2,-1.7918,0.4444,,*,*,*,*,*,*,*,*,,0.3,0.05,0.2828,0.0006,2,2,-1.7918,0.4444
Barnard et al. 2004 (GCB),39,TIN,350,600,250,4,43°17' N,11°35' E,Italy,FACE,μg N g-1 dry soil,No,Table2,*,No,Grassland,*,13.8,13.1,3.7068,2.498,6,6,-0.0521,0.0181,,*,*,*,*,*,*,*,*,,13.8,13.1,3.7068,2.498,6,6,-0.0521,0.0181
Barnard et al. 2004 (GCB),40,TIN,370,600,230,4,45°43' N,3°1' E,France,FACE,μg N g-1 dry soil,Nitrogen + Cut,Table2,*,Yes,Grassland,*,9.9,10.6,1.249,1.7664,3,3,0.0683,0.0146,,*,*,*,*,*,*,*,*,,9.9,10.6,1.249,1.7664,3,3,0.0683,0.0146
