study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Schortemeyer et al. 2002,55,350,700,350,0.4,*,*,Australian,GC,mmol,No,Table 2 (final dry weight) * Table 4 (NMR),*,No,Grassland,A. melanoxylon,0.6902,1.9581,0.0198,0.0405,9,9,1.0427,0.0001,,,,,,,,,,,,,,,,,,
Serraj & Sinclair 2003,56,360,700,340,0.0,*,*,USA,GC,g plant-1,No,Table 1 (Nodule d. wt),*,No,Cropland,Soybean,0.4700,0.4800,0.0600,0.1800,4,4,0.0211,0.0392,,,,,,,,,,,,,,,,,,
Serraj & Sinclair 2003,57,360,700,340,0.0,*,*,USA,GC,g plant-1,ureide (5 mM),Table 1 (Nodule d. wt),*,No,Cropland,Soybean,0.4500,0.4800,0.1600,0.0800,4,4,0.0645,0.0385,,,,,,,,,,,,,,,,,,
Serraj & Sinclair 2003,58,360,700,340,0.0,*,*,USA,GC,g plant-1,ureide (10 mM),Table 1 (Nodule d. wt),*,No,Cropland,Soybean,0.4000,0.4900,0.1400,0.0200,4,4,0.2029,0.031,,,,,,,,,,,,,,,,,,
Temperton et al. 2003,59,350,700,350,2.0,56°12' N,36°0' W,Scotland,OTC,g,No,"Table 5 (Nodule mass),",*,No,Forest,Sitka spruce forest,8.7500,12.6000,1.3539,3.3868,4,4,0.3646,0.024,,,,,,,,,,,,,,,,,,
Temperton et al. 2003,60,350,700,350,2.0,56°12' N,36°0' W,Scotland,OTC,g,-N (without fertilizer),"Table 5 (Nodule mass),",*,Yes,Forest,Sitka spruce forest,13.3000,18.0100,2.4200,7.5000,4,4,0.3032,0.0516,,,,,,,,,,,,,,,,,,
Temperton et al. 2003,61,350,700,350,2.0,56°12' N,36°0' W,Scotland,OTC,g,N (with fertilizer),"Table 5 (Nodule mass),",*,Yes,Forest,Sitka spruce forest,7.9600,17.7300,1.4600,12.7000,4,4,0.8008,0.1367,,,,,,,,,,,,,,,,,,
Thomas et al. 2000,62,350,700,350,0.3,9°51‘ N,84°14’W,Costa Rica,GC,mg plant-1,No,Fig. 3b,*,No,Forest,Gliricidia sepium,1.2070,1.1680,0.0873,0.2184,5,5,-0.0328,0.008,,,,,,,,,,,,,,,,,,
Thomas et al. 2000,63,350,700,350,0.3,9°51‘ N,84°14’W,Costa Rica,GC,mg plant-1,Low Nitrogen,Fig. 3b,NH4NO3 (1 Mm),Yes,Forest,Gliricidia sepium,0.9766,1.2227,0.2009,0.5153,5,5,0.2247,0.044,,,,,,,,,,,,,,,,,,
Thomas et al. 2000,64,350,700,350,0.3,9°51‘ N,84°14’W,Costa Rica,GC,mg plant-1,High Nitrogen,Fig. 3b,NH4NO3 (10 Mm),Yes,Forest,Gliricidia sepium,0.2656,1.0156,0.1048,0.5241,5,5,1.3412,0.0844,,,,,,,,,,,,,,,,,,
Tobia et al. 2010,65,360,720,360,2.0,43° N,141°E,Japan,GC,g plant-1,High P & wet,Fig. 2,*,No,Forest,Alnus hirsuta,0.8123,0.9938,0.2487,0.1206,6,6,0.2017,0.0181,,,,,,,,,,,,,,,,,,
Tobia et al. 2010,66,360,720,360,2.0,43° N,141°E,Japan,GC,g plant-1,High P & dry,Fig. 2,*,No,Forest,Alnus hirsuta,0.4769,0.6615,0.0452,0.1206,6,6,0.3272,0.007,,,,,,,,,,,,,,,,,,
Tobia et al. 2010,67,360,720,360,2.0,43° N,141°E,Japan,GC,g plant-1,Low P & wet,Fig. 2,*,No,Forest,Alnus hirsuta,0.1600,0.1200,0.0678,0.0452,6,6,-0.2877,0.0536,,,,,,,,,,,,,,,,,,
Tobia et al. 2010,68,360,720,360,2.0,43° N,141°E,Japan,GC,g plant-1,Low P & dry,Fig. 2,*,No,Forest,Alnus hirsuta,0.1662,0.1600,0.0528,0.0452,6,6,-0.038,0.0301,,,,,,,,,,,,,,,,,,
Tobia et al. 2010,69,360,720,360,2.0,43° N,141°E,Japan,GC,g plant-1,High P & wet,Fig. 2,*,No,Forest,Alnus maximowiczii ,2.5308,3.3744,0.7694,1.9345,6,6,0.2877,0.0702,,,,,,,,,,,,,,,,,,
Tobia et al. 2010,70,360,720,360,2.0,43° N,141°E,Japan,GC,g plant-1,High P & dry,Fig. 2,*,No,Forest,Alnus maximowiczii ,1.1846,1.5974,0.2638,0.3737,6,6,0.299,0.0174,,,,,,,,,,,,,,,,,,
Tobia et al. 2010,71,360,720,360,2.0,43° N,141°E,Japan,GC,g plant-1,Low P & wet,Fig. 2,*,No,Forest,Alnus maximowiczii ,0.5115,0.4577,0.3297,0.2198,6,6,-0.1111,0.1077,,,,,,,,,,,,,,,,,,
Tobia et al. 2010,72,360,720,360,2.0,43° N,141°E,Japan,GC,g plant-1,Low P & dry,Fig. 2,*,No,Forest,Alnus maximowiczii ,0.2513,0.3590,0.1759,0.1099,6,6,0.3567,0.0973,,,,,,,,,,,,,,,,,,
Vogel et al. 1997,73,349,695,346,0.4,45°34' N,84°40' W,USA,OTC,g plant-1,No,Table 2,*,No,Forest,Black alder,0.9000,1.6000,1.2522,0.1118,5,5,0.5754,0.3881,,,,,,,,,,,,,,,,,,
