study_id,ecosystem/vegetation type,N addition (kg N ha-1 y-1),addition simplify,Fertilizer type,Fertilizer type simplify,Duration (days),Duration simplify,Species,Needle/broadleaf,C3/C4,Legume/non-legume,Deciduous/evergreen,Organ,Organ simplify 1,Organ simplify 2,mean_trt,mean_ctrl,Δ1,δ15N of fertilizer ‰,Δ2,,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,Hedages d,Vd,Vd*n,w',d',
2 ,Tree,81.818 ,< 100,Urea,urea,4015 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.693 ,-1.639 ,3.332 ,0.000 ,-3.332 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,2.8671 ,1.3517 ,81.1021,0.0123,0.0354 ,
2 ,Tree,80.000 ,< 100,Urea,urea,4380 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.181 ,-2.668 ,4.849 ,0.000 ,-4.849 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.1725 ,2.1175 ,127.0482,0.0079,0.0328 ,
2 ,Tree,78.462 ,< 100,Urea,urea,4745 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.181 ,-2.533 ,4.713 ,0.000 ,-4.713 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.0559 ,2.0376 ,122.2531,0.0082,0.0332 ,
2 ,Tree,77.143 ,< 100,Urea,urea,5110 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.072 ,-2.668 ,4.740 ,0.000 ,-4.740 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.0792 ,2.0533 ,123.2010,0.0081,0.0331 ,
2 ,Tree,76.000 ,< 100,Urea,urea,5475 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.722 ,-2.912 ,5.634 ,0.000 ,-5.634 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.8485 ,2.6256 ,157.5384,0.0063,0.0308 ,
2 ,Tree,75.000 ,< 100,Urea,urea,5840 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.451 ,-3.183 ,5.634 ,0.000 ,-5.634 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.8485 ,2.6256 ,157.5384,0.0063,0.0308 ,
2 ,Tree,74.118 ,< 100,Urea,urea,6205 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.237 ,-3.427 ,6.664 ,0.000 ,-6.664 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,5.7343 ,3.4068 ,204.4084,0.0049,0.0281 ,
2 ,Tree,73.333 ,< 100,Urea,urea,6570 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.237 ,-3.562 ,6.799 ,0.000 ,-6.799 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,5.8508 ,3.5193 ,211.1596,0.0047,0.0277 ,
2 ,Tree,72.632 ,< 100,Urea,urea,6935 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.481 ,-3.156 ,6.637 ,0.000 ,-6.637 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,5.7109 ,3.3846 ,203.0744,0.0049,0.0281 ,
2 ,Tree,72.000 ,< 100,Urea,urea,7300 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.481 ,-4.212 ,7.693 ,0.000 ,-7.693 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,6.6200 ,4.3187 ,259.1239,0.0039,0.0255 ,
2 ,Tree,180.000 ,100-200,Urea,urea,365 ,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.910 ,-0.339 ,-1.571 ,0.000 ,1.571 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-1.3520 ,0.8190 ,49.1393,0.0204,-0.0275 ,
2 ,Tree,180.000 ,100-200,Urea,urea,730 ,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.637 ,0.014 ,-0.650 ,0.000 ,0.650 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.5594 ,0.6927 ,41.5649,0.0241,-0.0135 ,
2 ,Tree,180.000 ,100-200,Urea,urea,1095 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.666 ,0.014 ,1.652 ,0.000 ,-1.652 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,1.4219 ,0.8352 ,50.1091,0.0200,0.0284 ,
2 ,Tree,165.000 ,100-200,Urea,urea,1460 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.725 ,-0.637 ,4.361 ,0.000 ,-4.361 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,3.7529 ,1.8404 ,110.4213,0.0091,0.0340 ,
2 ,Tree,156.000 ,100-200,Urea,urea,1825 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.104 ,-0.718 ,4.822 ,0.000 ,-4.822 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.1492 ,2.1013 ,126.0783,0.0079,0.0329 ,
2 ,Tree,150.000 ,100-200,Urea,urea,2190 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.239 ,-1.124 ,5.363 ,0.000 ,-5.363 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.6154 ,2.4418 ,146.5083,0.0068,0.0315 ,
2 ,Tree,141.429 ,100-200,Urea,urea,2555 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.698 ,-1.233 ,4.930 ,0.000 ,-4.930 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.2424 ,2.1665 ,129.9907,0.0077,0.0326 ,
2 ,Tree,135.000 ,100-200,Urea,urea,2920 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.998 ,-1.395 ,6.393 ,0.000 ,-6.393 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,5.5011 ,3.1886 ,191.3131,0.0052,0.0288 ,
