study_id,ecosystem_veg,N addition,addition simplify,Fertilizer type,Fertilizer type simplify,Duration_days,Duration simplify,Species,Needle_broadleaf,C3_C4,Legume_non-legume,Deciduous_evergreen,Organ,Organ simplify 1,Organ simplify 2,1,15N of fertilizer,2,NA,mean_trt,mean_ctrl,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,HedagesD,Vd,VdN,w,d
2,Tree,94.286,< 100,Urea,urea,2555,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.713,0,-4.713,NA,3.481,-1.233,1.02,0.829,3,3,60,0.8,0.9297,4.0559,2.0376,122.2531,0.0082,0.0332
2,Tree,90,< 100,Urea,urea,2920,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.576,0,-3.576,NA,2.181,-1.395,1.02,0.829,3,3,60,0.8,0.9297,3.0769,1.4556,87.337,0.0114,0.0352
2,Tree,86.667,< 100,Urea,urea,3285,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.307,0,-4.307,NA,2.154,-2.154,1.02,0.829,3,3,60,0.8,0.9297,3.7063,1.8114,108.6828,0.0092,0.0341
2,Tree,84,< 100,Urea,urea,3650, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.063,0,-4.063,NA,1.666,-2.397,1.02,0.829,3,3,60,0.8,0.9297,3.4965,1.6855,101.1272,0.0099,0.0346
2,Tree,81.818,< 100,Urea,urea,4015, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.332,0,-3.332,NA,1.693,-1.639,1.02,0.829,3,3,60,0.8,0.9297,2.8671,1.3517,81.1021,0.0123,0.0354
2,Tree,80,< 100,Urea,urea,4380, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.849,0,-4.849,NA,2.181,-2.668,1.02,0.829,3,3,60,0.8,0.9297,4.1725,2.1175,127.0482,0.0079,0.0328
2,Tree,78.462,< 100,Urea,urea,4745, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.713,0,-4.713,NA,2.181,-2.533,1.02,0.829,3,3,60,0.8,0.9297,4.0559,2.0376,122.2531,0.0082,0.0332
2,Tree,77.143,< 100,Urea,urea,5110, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.74,0,-4.74,NA,2.072,-2.668,1.02,0.829,3,3,60,0.8,0.9297,4.0792,2.0533,123.201,0.0081,0.0331
2,Tree,76,< 100,Urea,urea,5475, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,5.634,0,-5.634,NA,2.722,-2.912,1.02,0.829,3,3,60,0.8,0.9297,4.8485,2.6256,157.5384,0.0063,0.0308
2,Tree,75,< 100,Urea,urea,5840, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,5.634,0,-5.634,NA,2.451,-3.183,1.02,0.829,3,3,60,0.8,0.9297,4.8485,2.6256,157.5384,0.0063,0.0308
2,Tree,74.118,< 100,Urea,urea,6205, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,6.664,0,-6.664,NA,3.237,-3.427,1.02,0.829,3,3,60,0.8,0.9297,5.7343,3.4068,204.4084,0.0049,0.0281
2,Tree,73.333,< 100,Urea,urea,6570, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,6.799,0,-6.799,NA,3.237,-3.562,1.02,0.829,3,3,60,0.8,0.9297,5.8508,3.5193,211.1596,0.0047,0.0277
2,Tree,72.632,< 100,Urea,urea,6935, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,6.637,0,-6.637,NA,3.481,-3.156,1.02,0.829,3,3,60,0.8,0.9297,5.7109,3.3846,203.0744,0.0049,0.0281
2,Tree,72,< 100,Urea,urea,7300, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,7.693,0,-7.693,NA,3.481,-4.212,1.02,0.829,3,3,60,0.8,0.9297,6.62,4.3187,259.1239,0.0039,0.0255
2,Tree,180,100-200,Urea,urea,365,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.571,0,1.571,NA,-1.91,-0.339,1.02,0.829,3,3,60,0.8,0.9297,-1.352,0.819,49.1393,0.0204,-0.0275
