Species,study_id,T_ style,Control Day T (mean),Control Night T (mean),Control Whole-day T (mean),Increased Day T (mean),Increased Night T (mean),Increased Whole-day T (mean),_Day T,_Night T,_Whole-day T,T Position,Facility,Exposed time(d),Other Treatment,pot or field,Latitude,Longitude,Elevation(m),mean_ctrl,mean_trt,SD_ctrl,SD_trt,Sc,Se,N_ctrl,N_trt,Unit
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,1.8596,3.1579,0.945503041,1.461120632,0.386,0.5965,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,2.1053,3.1579,0.17195418,0.08597709,0.0702,0.0351,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,1.5088,2.4211,0.25793127,0.25793127,0.1053,0.1053,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,2.4211,3.4035,0.25793127,0.515617591,0.1053,0.2105,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,4.0351,4.9825,0.25793127,0.601594681,0.1053,0.2456,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,3.1228,4.1053,1.719051901,1.031480131,0.7018,0.4211,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,5.8246,6,1.203189362,1.117212272,0.4912,0.4561,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,4.0702,4.2105,0.687571771,0.601594681,0.2807,0.2456,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,2.8772,2.9123,0.25793127,0.515617591,0.1053,0.2105,6,6,_mol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,NA,NA,16.3,NA,NA,NA,NA,NA,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,NA,0.3158,0.7368,0.25793127,0.515617591,0.1053,0.2105,6,6,_mol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,NA,25,17,NA,5,5,NA,air,*,40---60days,NA,pot,NA,NA,NA,1.7885,2.4038,0.499696658,0.399757326,0.2885,0.2308,3,3,_mol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,NA,30,22,NA,10,10,NA,air,*,40---60days,NA,pot,NA,NA,NA,1.7885,2.5962,0.499696658,0.166623288,0.2885,0.0962,3,3,_mol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,NA,35,27,NA,15,15,NA,air,*,40---60days,NA,pot,NA,NA,NA,1.7885,2.5192,0.499696658,0.099939332,0.2885,0.0577,3,3,_mol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,NA,40,32,NA,20,20,NA,air,*,40---60days,NA,pot,NA,NA,NA,1.7885,3.1538,0.499696658,0.632891365,0.2885,0.3654,3,3,_mol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,NA,25,17,NA,5,5,NA,air,*,40---60days,CO2,pot,NA,NA,NA,1.7115,1.2115,0.832770028,0.066683956,0.4808,0.0385,3,3,_mol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,NA,30,22,NA,10,10,NA,air,*,40---60days,CO2,pot,NA,NA,NA,1.7115,2.4615,0.832770028,0.33307337,0.4808,0.1923,3,3,_mol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,NA,35,27,NA,15,15,NA,air,*,40---60days,CO2,pot,NA,NA,NA,1.7115,2.4423,0.832770028,0.566207409,0.4808,0.3269,3,3,_mol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,NA,40,32,NA,20,20,NA,air,*,40---60days,CO2,pot,NA,NA,NA,1.7115,3.0385,0.832770028,0.59963599,0.4808,0.3462,3,3,_mol m-2 s-1
Anthoxanthum alpinum,Larigauderie 1995,day/night,10,5,NA,20,15,NA,10,10,NA,air,chamber,<1,NA,pot,NA,NA,2500,3.5496,5.4389,2.061,1.145,1.0305,0.5725,4,4,mmol g-1 s-1
Anthoxanthum odoratum,Larigauderie 1995,day/night,10,5,NA,20,15,NA,10,10,NA,air,chamber,<1,NA,pot,NA,NA,2500,7.4427,11.3933,3.4352,5.9542,1.7176,2.9771,4,4,mmol g-1 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,3.1579,4.0702,0.429640501,0.773548861,0.1754,0.3158,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,3.3333,3.8596,0.34390836,0.859525951,0.1404,0.3509,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,2.9825,4.386,0.34390836,1.117212272,0.1404,0.4561,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,2.3158,5.1228,0.859525951,2.320646582,0.3509,0.9474,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,2.0702,3.0877,0.17195418,0.25793127,0.0702,0.1053,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,2.2105,3.1228,0.25793127,0.429640501,0.1053,0.1754,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,3.4035,4.3158,0.25793127,0.515617591,0.1053,0.2105,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,4.4912,5.8246,0.25793127,0.773548861,0.1053,0.3158,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,4.0351,4.7368,0.859525951,1.031480131,0.3509,0.4211,6,6,_mol m-2 s-1
